"<ID|readonly|noverify>";"<English>";"<Russian>";"<German>";"<French>";"<Spanish>";"<Japanese>";"<Korean>";"<Chinese>";"<HChinese>";"<Polish>"
"measureUnits/seconds";"s";"с";"s";"s";"s";"s";"초";"秒";"秒";"s"
"measureUnits/milliseconds";"ms";"мс";"ms";"ms";"ms";"ms";"밀리초";"毫\t秒";"毫\t秒";"ms"
"measureUnits/full/days";"d";"д.";"d";"j";"d";"日";"일";"天";"天";"d"
"measureUnits/full/hours";"h";"ч.";"h";"h";"h";"時間";"시간";" 小\t时";" 小\t时";"g"
"measureUnits/full/minutes";"m";"м.";"m";"min";"m";"分";"분";" 分";" 分";"m"
"EU";"Europe";"Европа";"Europa";"Europe";"Europa";"ヨーロッパ";"유럽";"欧\t洲";"欧\t洲";"Europa"
"EEU";"Eastern Europe";"Восточная Европа";"Osteuropa";"Europe de l'Est";"Europa del Este";"東\tヨーロッパ";"동유럽";"东\t欧";"东\t欧";"Europa Wschodnia"
"US";"North America";"Северная Америка";"Nordamerika";"Amérique du Nord";"Norteamérica";"北\tアメリカ";"북미";"北\t美";"北\t美";"Północna Ameryka"
"JP";"East Asia";"Восточная Азия";"Ostasien";"Asie de l'Est";"Asia del Este";"東\tアジア";"동아시아";"东\t亚";"东\t亚";"Wschodnia Azja"
"btn/buy";"Purchase";"Приобрести";"Kaufen";"Acheter";"Comprar";"購入";"구매";"购\t买";"购\t买";"Zakup"
"btn/enlist";"Enlist";"Завербовать";"Anwerben";"Enrôler";"Enlistarse";"Enlist";"모집";"招\t募";"招\t募";"Zapisz się"
"btn/buyCustom";"Purchase {item}";"Приобрести {item}";"{item} kaufen";"Acheter {item}";"Comprar {item}";"{item}を\t購入";"{item} 구매";"购\t买 {item}";"购\t买 {item}";"Kup {item}"
"btn/later";"Later";"Позже";"Später";"Plus tard";"Más tarde";"あとで";"나중에";"稍\t后";"稍\t后\t再\t说";"Później"
"btn/squadManage";"Managing squads";"Управление отрядами";"Trupps verwalten";"Gérer les sections";"Administrar escuadrones";"分隊管理";"분대 관리";"管\t理\t小\t队";"管\t理\t队\t伍";"Zarządzanie oddziałami"
"btn/addToSquads";"To add to the squads";"Добавить к отрядам";"Zu Squad hinzufügen";"Ajouter aux sections";"Añadir a escuadrones";"分隊に\t招待する";"분대에 추가";"加\t入\t小\t队";"加\t入\t队\t伍";"Aby dodać do oddziałów"
"btn/gotoBattlepass";"Go to Battle Pass";"Перейти в Боевой Пропуск";"Zum Battle Pass";"Aller au Battle Pass";"Ir al Pase de Batalla";"バトルパスへ\t移動";"배틀패스로 가기";"前\t往\t战\t斗\t通\t行\t证\t界\t面";"前\t往\t战\t斗\t通\t行\t证";"Przejdź do Przepustki Bitewnej"
"btn/rentFor";"Rent for {timeText}";"Арендовать на {timeText}";"Für {timeText} mieten";"Louer pour {timeText}";"Alquilar por {timeText}";"Rent for {timeText}";"{timeText}동안 대여";"租\t用 {timeText}";"试\t用  {timeText}";"Wypożycz na {timeText}"
"server";"Host";"Сервер";"Host";"Hôte";"Servidor";"ホスト";"호스트";"主\t机";"主\t机";"Gospodarz"
"player";"Player";"Игрок";"Spieler";"Joueur";"Jugador";"プレイヤー";"플레이어";"玩\t家";"玩\t家";"Gracz"
"show_info_btn";"Information";"Информация";"Informationen";"Information";"Información";"インフォメーション";"정보";"介\t绍";"介\t绍\t信\t息";"Informacje"
"help/noDescriptionForThisItem";"No description";"Описание отсутствует";"Keine Beschreibung";"Pas de description";"Sin descripción";"説明なし";"설명 없음";"无\t简\t介";"暂\t无\t简\t介";"Brak opisu"
"levelup/noPrizeForLevel";"No reward for the new level.";"Нет награды за уровень.";"Keine Belohnung für das neue Level.";"Pas de récompense pour le niveau supérieur.";"No hay recompensa para el nuevo nivel.";"新\tレベルへの\t報酬はありません。";"새로운 레벨 보상이 없습니다.";"新\t的\t等\t级\t没\t有\t奖\t励。";"新\t的\t等\t级\t奖\t励\t未\t开\t放。";"Brak nagrody za nowy poziom."
"gamemenu/btnBack";"Back";"Назад";"Zurück";"Retour";"Volver";"戻る";"뒤로";"返\t回";"返\t回";"Wstecz"
"gamemenu/btnUse";"Use";"Применить";"Verwenden";"Utiliser";"Usar";"使用";"사용";"使\t用";"使\t用";"Użyj"
"gamemenu/btnLegacyDesign";"Return to old design";"Вернуться к старому дизайну";"Rückkehr zum alten Design";"Retour à l'ancien design";"Vuelta al diseño antiguo";"Return to old design";"구 디자인 복구";"返\t回\t旧\t式\t界\t面";"切\t换\t成\t旧\t版\t界\t面";"Powróć do starego projektu"
"gamemenu/btnNewDesign";"New design (beta)";"Новый дизайн (бета)";"Neues Design (Beta)";"Nouveau design (bêta)";"Nuevo diseño (beta)";"New design (beta)";"신규 디자인 (베타)";"使\t用\t新\t界\t面\t（测\t试）";"新\t版\t界\t面\t（测\t试）";"Nowy projekt (beta)"
"gamemenu/hintNewDesign";"New design is a beta version and may not be fully functional.
After switching to a new design, it will be possible to return to the old one through the menu";"Новый дизайн является бета версией и может оказаться не полностью функциональным.
После переключения на новый дизайн можно будет снова вернуться к старому через меню";"Das neue Design ist eine Betaversion und möglicherweise nicht voll funktionsfähig.
Nach der Umstellung auf das neue Design ist es möglich, zum alten Design über das Menü zurückzukehren";"Ce nouveau design est en version bêta et peut ne pas être pleinement fonctionnel.
Une fois passé au nouveau design, il vous sera possible de retourner à l'ancien à partir du menu";"El nuevo diseño es una versión beta y puede no ser totalmente funcional.
Después de cambiar al nuevo diseño, será posible volver al antiguo de nuevo a través del menú";"New design is a beta version and may not be fully functional.
After switching to a new design, it will be possible to return to the old one through the menu";"신규 디자인은 아직 베타 단계이며, 완벽하게 작동하지 않을 수 있습니다.
신규 디자인으로 변경 이후에도 메뉴에서 다시 예전 디자인으로 돌아갈 수 있습니다";"新\t界\t面\t仍\t处\t在\t测\t试\t中，\t可\t能\t无\t法\t正\t常\t使\t用。
切\t换\t至\t新\t界\t面\t后，\t您\t仍\t可\t在\t游\t戏\t菜\t单\t切\t换\t回\t旧\t式\t界\t面";"测\t试\t版\t新\t界\t面\t本\t功\t能\t有\t可\t能\t不\t完\t备。
切\t换\t新\t版\t界\t面\t后，\t可\t以\t使\t用\t切\t换\t回\t版\t界\t面。";"Opcja nowy projekt jest wersją beta i może nie być w pełni funkcjonalna.
Po przejściu do nowego projektu można powrócić do starego za pomocą menu"
"Inventory";"Inventory";"Инвентарь";"Inventar";"Inventaire";"Inventario";"インベントリ";"소지품";"物\t品\t栏";"物\t品\t栏";"Ekwipunek"
"inventory/containsListedItems";"Contains the items:";"Содержит предметы:";"Enthält folgende Gegenstände:";"Contient les objets :";"Contiene los artículos:";"入っている\tアイテム：";"포함된 아이템:";"包\t含\t物\t品：";"包\t含\t物\t品：";"Posiada przedmioty:"
"inventory/containsOneOfItems";"Contains one of following:";"Содержит один из следующих предметов:";"Enthält eines der Folgenden:";"Contient l'un des objets suivants:";"Contiene uno de lo siguiente:";"以下のいずれかを\t含みます：";"다음 중 하나가 포함되어 있습니다:";"含\t以\t下\t任\t意\t一\t种：";"含\t以\t下\t任\t意\t一\t种：";"Zawiera jedno z następujących:"
"andMoreItems";"and {num} more";"и ещё {num}";"und {num} mehr";"et {num} de plus";"y {num} más";"さらにあと{num}種類";"이외 {num}개";"还\t有 {num} 个";"还\t有 {num} 份";"dodaj {num} więcej"
"inventory/receivedItemsMsg";"You have received the following items:";"Вы получили предметы:";"Du hast die folgenden Gegenstände erhalten:";"Vous avez reçu les objets suivants :";"Ha recibido los siguientes artículos:";"次の\tアイテムを\t受け\t取りました：";"다음 아이템을 받았습니다:";"您\t收\t到\t了\t以\t下\t物\t品：";"您\t收\t到\t了\t以\t下\t物\t品：";"Otrzymujesz wymienione przedmioty:"
"quickMatch/failedStart";"Failed to join the quick match queue.";"Произошла ошибка при попытке встать в очередь.";"Beitritt zur Schnellspielschlange fehlgeschlagen.";"Vous n'avez pas pu rejoindre la file d'attente d'attribution rapide d'adversaire.";"Falló al unirse a la cola de partida rápida.";"クイックマッチの\tキューに\t参加できませんでした。";"빠른 경기 대기열에 참여하는 데 실패했습니다.";"无\t法\t加\t入\t匹\t配\t队\t列。";"无\t法\t加\t入\t匹\t配\t队\t列。";"Nie udało się połączyć do bitwy."
"quickMatch/forceStartBtn";"To battle";"В бой";"Zum Kampf";"Combat";"A la batalla";"バトルへ";"전투 참여";"参\t加\t战\t斗";"参\t加\t战\t斗";"Do bitwy"
"gameIsFound";"Game found. Waiting for connection...";"Игра найдена. Ожидайте присоединения...";"Spiel gefunden. Warte auf eine Verbindung ...";"Partie trouvée. En attente de connexion…";"Juego encontrado. Esperando la conexión...";"ゲームが\t見つかりました。\t接続を\t待っています...";"게임을 찾았습니다. 연결을 기다리는 중...";"游\t戏\t匹\t配\t成\t功，\t正\t在\t连\t接\t…\t…";"游\t戏\t匹\t配\t成\t功，\t正\t在\t连\t接\t…\t…";"Znaleziono grę. Oczekiwanie na połączenie..."
"ItemShop";"Items Shop";"Магазин";"Shop";"Magasin d'objets";"Tienda de artículos";"アイテムショップ";"아이템 상점";"道\t具\t商\t店";"道\t具\t商\t店";"Sklep z przedmiotami"
"price";"Price:";"Цена:";"Preis:";"Prix :";"Precio:";"価格：";"가격:";"价\t格:";"价\t格：";"Cena:"
"priceText/rub";"{price}₽";"{price}₽";"{price}₽";"{price}₽";"{price}₽";"{price}₽";"{price}₽";"{price} ₽";"{price} 卢\t布";"{price}₽"
"priceText/usd";"${price}";"{price}$";"{price}$";"{price}$";"${price}";"{price}$";"{price}$";"{price} $";"{price} 美\t元";"${price}"
"priceText/eur";"€{price}";"{price}€";"{price}€";"{price}€";"€{price}";"{price}€";"{price}€";"{price} €";"{price} 欧\t元";"{price}€"
"priceText/jpy";"¥{price}";"¥{price}";"¥{price}";"{price}¥";"¥{price}";"{price}DP";"¥{price}";"{price} JP¥";"{price} 元";"¥{price}"
"priceText/dp";"{price}DP";"{price}DP";"{price}DP";"{price}DP";"{price}DP";"{price}DP";"{price}DP";"{price} DMM\t点";"{price} DMM\t点";"{price}DP"
"itemShop/timeLeft";"Time left: {timeLeft}";"Осталось времени: {timeLeft}";"Verbleibende Zeit: {timeLeft}";"Temps restant : {timeLeft}";"Tiempo restante: {timeLeft}";"残り\t時間：\t{timeLeft}";"남은 시간: {timeLeft}";"剩\t余\t时\t间：\t{timeLeft}";"剩\t余\t时\t间：\t{timeLeft}";"Pozostało czasu: {timeLeft}"
"alreadyBought";"Already purchased";"Уже приобретено";"Bereits gekauft";"Déjà acheté";"Ya se ha comprado";"購入済み";"구매 완료";"已\t购\t买";"已\t购\t买";"Już zakupiona"
"shop/previousItem";"Previous";"Предыдущий";"Zurück";"Précédent";"Anterior";"前";"이전";"上\t一\t页";"上\t一\t页";"Poprzedni"
"shop/nextItem";"Next";"Следующий";"Weiter";"Suivant";"Siguiente";"次";"다음";"下\t一\t页";"下\t一\t页";"Następny"
"shop/currentCountFrom";"{current} of {from}";"{current} из {from}";"{current} von {from}";"{current} sur {from}";"{current} de {from}";"{current}/{from}";"{current} / {from}";"{current} / {from}";"{current} / {from}";"{current} z {from}"
"inventory/error/default";"An error has occurred during the operation ({error})";"Во время операции произошла ошибка ({error})";"Während der Transaktion ist ein Fehler aufgetreten ({error})";"Une erreur est survenue durant l'opération ({error})";"Se ha producido un error durante la operación ({error})";"操作中に\tエラーが\t発生しました（{error}）";"처리 중 오류가 발생했습니다 ({error})";"操\t作\t时\t发\t生\t错\t误\t（{error}）";"操\t作\t时\t发\t生\t错\t误\t（{error}）";"Pojawił się błąd podczas operacji ({error})"
"inventory/error/INVENTORY_NOT_ENOUGH_MONEY";"Not enough funds to make the purchase";"Недостаточно средств для осуществления покупки";"Nicht genug Geldmittel für den Kauf";"Fonds insuffisants pour l'achat";"No hay suficientes fondos para hacer la compra";"購入資金が\t足りません";"자금이 부족하여 구매할 수 없습니다";"资\t金\t不\t足，\t无\t法\t购\t买。";"无\t法\t购\t买，\t没\t有\t足\t够\t的\t资\t金。";"Brak wystarczających środków by to zakupić"
"inventory/error/INVENTORY_OUT_OF_RETRIES";"Service is temporarily unavailable";"Сервис временно недоступен";"Service ist vorübergehend nicht verfügbar";"Ce service est temporairement indisponible";"El servicio no está disponible temporalmente";"サービスは\t一時的に\t使用できません";"일시적으로 서비스를 이용할 수 없습니다";"服\t务\t暂\t不\t可\t用。";"服\t务\t暂\t不\t可\t用。";"Usługa aktualnie jest nie dostępna"
"premium/timeLeft";"Stories access for {time}";"Доступ к историям на {time}";"Geschichtenzugriff für {time}";"Accès aux histoires pour {time}";"Acceso a las historias durante {time}";"ストーリーアクセス\t期間：\t{time}";"{time} 동안 이야기 접근 가능";"故\t事\t可\t用\t时\t间\t还\t剩：\t{time}";"剩\t余\t故\t事\t可\t用\t时\t间：\t{time}";"Historie dostępne do {time}"
"xbox/betaInfo";"This is the Game Preview version of the game.
Some features may not work as expected.";"Это превью версия игры.
Некоторые функции могут работать не так, как ожидалось.";"Dies ist die Spielvorschau-Version des Spiels.
Einige Funktionen könnten nicht wie erwartet funktionieren.";"Le jeu est en version preview
et peut ne pas fonctionner comme prévu.";"Esta es la versión del juego Game Preview.
Algunas características pueden no funcionar como se esperaba.";"これは\tゲームプレビュー\t版です。\t
機能が\t期待通りに\t動作しない\t場合があります。";"본 게임은 게임 프리뷰 버전입니다.
일부 기능이 정상적으로 작동하지 않을 수 있습니다.";"此\t版\t本\t为\t游\t戏\t预\t览\t版\t本。
部\t分\t游\t戏\t功\t能\t可\t能\t无\t法\t正\t常\t运\t作。";"当\t前\t为\t游\t戏\t的\t预\t览\t版\t本， 一\t些\t功\t能\t可\t能\t尚\t未\t打\t磨\t完\t善，\t请\t见\t谅。";"Ta gra jest w wersji przedpremierowej.
Niektóre opcje nie będą działać tak jak powinny."
"hint/betaInfo";"This is the beta version of the game.
Some features may not work as expected.";"Это бета-версия игры.
Некоторые функции могут работать не так, как ожидалось.";"BETA-VERSION:
Einige Features und Spielmechaniken könnten nicht wie erwartet funktionieren.";"Le jeu est en version bêta
et peut ne pas fonctionner comme prévu.";"Esta es la versión beta del juego.
Algunas características pueden no funcionar como se esperaba.";"この\tゲームは\tベータ\t版です。\t
機能が\t期待通りに\t動作しない\t場合があります。";"본 게임은 베타 버전입니다.
일부 기능이 정상적으로 작동하지 않을 수 있습니다.";"此\t版\t本\t为\t游\t戏 beta 测\t试\t版\t本。
部\t分\t游\t戏\t功\t能\t可\t能\t无\t法\t正\t常\t运\t作。";"当\t前\t为\t游\t戏\t的\t测\t试\t版\t本， 一\t些\t功\t能\t可\t能\t尚\t未\t打\t磨\t完\t善，\t请\t见\t谅。";"Ta gra jest w wersji przedpremierowej.
Niektóre opcje nie będą działać tak jak powinny."
"purchaseNotAvailable";"This item is temporarily unavailable.";"Товар временно недоступен.";"Dieser Gegenstand ist vorübergehend nicht verfügbar.";"Cet objet est temporairement indisponible.";"Este artículo no está disponible temporalmente.";"この\tアイテムは\t一時的に\t使用できません。";"이 아이템은 일시적으로 이용할 수 없습니다.";"该\t物\t品\t暂\t不\t可\t用。";"该\t物\t品\t暂\t不\t可\t用。";"Ten przedmiot jest aktualnie niedostępny."
